ts_ms,kind
1789532728087,session_start
1789532793395,fall
1789532798350,fall
1789532803796,fall
1789532807674,fall
1789532811689,fall
1789532816827,fall
1789532822151,fall
1789532827329,fall
1789532837734,fall
1789532843301,fall
1789532848369,fall
1789532851520,fall
1789532856223,fall
1789532861402,fall
1789532861432,bad
1789532867936,fall
1789532874357,fall
1789532879616,fall
1789532883711,fall
1789532890117,session_end
1789533537931,session_start
1789533544002,fall
1789533548686,fall
1789533552502,fall
1789533556389,fall
1789533559936,fall
1789533563317,fall
1789533567186,fall
1789533570975,fall
1789533573882,fall
1789533577121,fall
1789533580661,fall
1789533583994,fall
1789533586927,fall
1789533593225,fall
1789533596025,fall
1789533599716,fall
1789533602566,fall
1789533604505,fall
1789533607092,fall
1789533610327,fall
1789533613247,session_end
1789533799554,session_start
1789533819850,fall
1789533837401,fall
1789533850870,fall
1789533862359,fall
1789533880633,fall
1789533903725,fall
1789533917464,fall
1789533932496,fall
1789533948710,fall
1789533966549,fall
1789533980841,session_end
