csv_file,session_label,fall_ts_ms,split,source,notes
csib_ESP32_Human_U08_Fall_E22_ESP32_10000.csv,FALL,1700010001000;1700010002500;1700010004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_1000.csv,FALL,1700020001000;1700020002500;1700020004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_11000.csv,FALL,1700030001000;1700030002500;1700030004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_12000.csv,FALL,1700040001000;1700040002500;1700040004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_13000.csv,FALL,1700050001000;1700050002500;1700050004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_14000.csv,FALL,1700060001000;1700060002500;1700060004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_15000.csv,FALL,1700070001000;1700070002500;1700070004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_16000.csv,FALL,1700080001000;1700080002500;1700080004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_17000.csv,FALL,1700090001000;1700090002500;1700090004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_18000.csv,FALL,1700100001000;1700100002500;1700100004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_19000.csv,FALL,1700110001000;1700110002500;1700110004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_20000.csv,FALL,1700120001000;1700120002500;1700120004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_2000.csv,FALL,1700130001000;1700130002500;1700130004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_21000.csv,FALL,1700140001000;1700140002500;1700140004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_22000.csv,FALL,1700150001000;1700150002500;1700150004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_23000.csv,FALL,1700160001000;1700160002500;1700160004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_24000.csv,FALL,1700170001000;1700170002500;1700170004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_25000.csv,FALL,1700180001000;1700180002500;1700180004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_26000.csv,FALL,1700190001000;1700190002500;1700190004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_27000.csv,FALL,1700200001000;1700200002500;1700200004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_28000.csv,FALL,1700210001000;1700210002500;1700210004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_3000.csv,FALL,1700220001000;1700220002500;1700220004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_4000.csv,FALL,1700230001000;1700230002500;1700230004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_5000.csv,FALL,1700240001000;1700240002500;1700240004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_6000.csv,FALL,1700250001000;1700250002500;1700250004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_7000.csv,FALL,1700260001000;1700260002500;1700260004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_8000.csv,FALL,1700270001000;1700270002500;1700270004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Fall_E22_ESP32_9000.csv,FALL,1700280001000;1700280002500;1700280004000,train,public,csibench;ESP32;U08;E22;Hard;seg_cover(3)
csib_ESP32_Human_U08_Nonfall_E22_ESP32_10000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_1000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_11000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_12000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_13000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_14000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_15000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_16000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_17000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_18000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_19000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_2000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_3000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_4000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_5000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_6000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_7000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_8000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U08_Nonfall_E22_ESP32_9000.csv,NORMAL,,train,public,csibench;ESP32;U08;E22;Hard
csib_ESP32_Human_U09_Fall_E22_ESP32_29000.csv,FALL,1700480001000;1700480002500;1700480004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_30000.csv,FALL,1700490001000;1700490002500;1700490004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_31000.csv,FALL,1700500001000;1700500002500;1700500004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_32000.csv,FALL,1700510001000;1700510002500;1700510004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_33000.csv,FALL,1700520001000;1700520002500;1700520004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_34000.csv,FALL,1700530001000;1700530002500;1700530004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_35000.csv,FALL,1700540001000;1700540002500;1700540004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_36000.csv,FALL,1700550001000;1700550002500;1700550004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_37000.csv,FALL,1700560001000;1700560002500;1700560004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_38000.csv,FALL,1700570001000;1700570002500;1700570004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_39000.csv,FALL,1700580001000;1700580002500;1700580004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_40000.csv,FALL,1700590001000;1700590002500;1700590004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_41000.csv,FALL,1700600001000;1700600002500;1700600004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_42000.csv,FALL,1700610001000;1700610002500;1700610004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_43000.csv,FALL,1700620001000;1700620002500;1700620004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_44000.csv,FALL,1700630001000;1700630002500;1700630004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_45000.csv,FALL,1700640001000;1700640002500;1700640004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_46000.csv,FALL,1700650001000;1700650002500;1700650004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_47000.csv,FALL,1700660001000;1700660002500;1700660004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_48000.csv,FALL,1700670001000;1700670002500;1700670004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_49000.csv,FALL,1700680001000;1700680002500;1700680004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_50000.csv,FALL,1700690001000;1700690002500;1700690004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_51000.csv,FALL,1700700001000;1700700002500;1700700004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_52000.csv,FALL,1700710001000;1700710002500;1700710004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_53000.csv,FALL,1700720001000;1700720002500;1700720004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_54000.csv,FALL,1700730001000;1700730002500;1700730004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_55000.csv,FALL,1700740001000;1700740002500;1700740004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_56000.csv,FALL,1700750001000;1700750002500;1700750004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_57000.csv,FALL,1700760001000;1700760002500;1700760004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_58000.csv,FALL,1700770001000;1700770002500;1700770004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Fall_E22_ESP32_59000.csv,FALL,1700780001000;1700780002500;1700780004000,train,public,csibench;ESP32;U09;E22;Hard;seg_cover(3)
csib_ESP32_Human_U09_Nonfall_E22_ESP32_20000.csv,NORMAL,,train,public,csibench;ESP32;U09;E22;Hard
csib_ESP32_Human_U09_Nonfall_E22_ESP32_21000.csv,NORMAL,,train,public,csibench;ESP32;U09;E22;Hard
