csv_file,session_label,fall_ts_ms,split,source,notes
csi_20260916_1325_fall.csv,NORMAL,,train,self,self
csi_20260916_1326_fall.csv,FALL,2826398003;2826402958;2826408404;2826412282;2826416297;2826421435,train,self,self;6fall
csi_20260916_1327_fall.csv,FALL,2826426760;2826431938;2826442343;2826447910;2826452978;2826456129;2826460832;2826466011;2826472545;2826478966;2826484225,val,self,self;11fall
csi_20260916_1328_fall.csv,FALL,2826488322,train,self,self;1fall
csi_20260916_1331_hardneg_chair.csv,NORMAL,,train,self,self
csi_20260916_1332_hardneg_chair.csv,NORMAL,,val,self,self
csi_20260916_1333_hardneg_chair.csv,NORMAL,,train,self,self
csi_20260916_1334_hardneg_floor.csv,NORMAL,,train,self,self
csi_20260916_1335_hardneg_floor.csv,NORMAL,,val,self,self
csi_20260916_1336_hardneg_liedown.csv,NORMAL,,train,self,self
csi_20260916_1337_hardneg_liedown.csv,NORMAL,,val,self,self
csi_20260916_1338_fall.csv,NORMAL,,train,self,self
csi_20260916_1339_fall.csv,FALL,2827148605;2827153289;2827157105;2827160992;2827164539;2827167920;2827171789;2827175578;2827178485;2827181724;2827185264;2827188597;2827191530;2827197828;2827200628;2827204319,train,self,self;16fall
csi_20260916_1340_fall.csv,FALL,2827207169;2827209108;2827211695;2827214930,val,self,self;4fall
csi_20260916_1343_fall_longlie.csv,FALL,2827424458;2827442009,train,self,self;2fall
csi_20260916_1344_fall_longlie.csv,FALL,2827455479;2827466968;2827485242,train,self,self;3fall
csi_20260916_1345_fall_longlie.csv,FALL,2827508335;2827522074;2827537106;2827553320,val,self,self;4fall
csi_20260916_1346_fall_longlie.csv,FALL,2827571160,train,self,self;1fall
csi_20260916_1347_normal_active.csv,NORMAL,,train,self,self
csi_20260916_1348_normal_active.csv,NORMAL,,train,self,self
csi_20260916_1349_normal_active.csv,NORMAL,,train,self,self
csi_20260916_1350_normal_active.csv,NORMAL,,val,self,self
csi_20260916_1351_normal_active.csv,NORMAL,,train,self,self
csi_20260916_1352_normal_active.csv,NORMAL,,train,self,self
csi_20260916_1352_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1353_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1354_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1355_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1356_normal_empty.csv,NORMAL,,val,self,self
csi_20260916_1357_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1358_normal_empty.csv,NORMAL,,val,self,self
csi_20260916_1359_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1400_normal_empty.csv,NORMAL,,train,self,self
csi_20260916_1401_normal_empty.csv,NORMAL,,train,self,self
