session_id,csv_prefix,date,layout_id,subject_id,class,scenario,fall_dir,start_pose,spot_x_m,spot_y_m,n_events,occlusion_by_node,operator,lag_ms,verify_pass,notes
F001,,,L1,,FALL,낙상-전방-서기,front,stand,,,4,,,300,,
F002,,,L1,,FALL,낙상-전방-앉기,front,sit,,,4,,,300,,
F003,,,L1,,FALL,낙상-전방-걷다가,front,walk,,,4,,,300,,
F004,,,L1,,FALL,낙상-후방-서기,back,stand,,,4,,,300,,
F005,,,L1,,FALL,낙상-후방-앉기,back,sit,,,4,,,300,,
F006,,,L1,,FALL,낙상-후방-걷다가,back,walk,,,4,,,300,,
F007,,,L1,,FALL,낙상-좌측-서기,left,stand,,,4,,,300,,
F008,,,L1,,FALL,낙상-좌측-앉기,left,sit,,,4,,,300,,
F009,,,L1,,FALL,낙상-좌측-걷다가,left,walk,,,4,,,300,,
F010,,,L1,,FALL,낙상-우측-서기,right,stand,,,4,,,300,,
F011,,,L1,,FALL,낙상-우측-앉기,right,sit,,,4,,,300,,
F012,,,L1,,FALL,낙상-우측-걷다가,right,walk,,,4,,,300,,
F013,,,L1,,FALL,낙상-전방-서기,front,stand,,,4,,,300,,
F014,,,L1,,FALL,낙상-전방-앉기,front,sit,,,4,,,300,,
F015,,,L1,,FALL,낙상-전방-걷다가,front,walk,,,4,,,300,,
F016,,,L1,,FALL,낙상-후방-서기,back,stand,,,4,,,300,,
F017,,,L1,,FALL,낙상-후방-앉기,back,sit,,,4,,,300,,
F018,,,L1,,FALL,낙상-후방-걷다가,back,walk,,,4,,,300,,
F019,,,L1,,FALL,낙상-좌측-서기,left,stand,,,4,,,300,,
F020,,,L1,,FALL,낙상-좌측-앉기,left,sit,,,4,,,300,,
F021,,,L1,,FALL,낙상-좌측-걷다가,left,walk,,,4,,,300,,
F022,,,L1,,FALL,낙상-우측-서기,right,stand,,,4,,,300,,
F023,,,L1,,FALL,낙상-우측-앉기,right,sit,,,4,,,300,,
F024,,,L1,,FALL,낙상-우측-걷다가,right,walk,,,4,,,300,,
F025,,,L1,,FALL,낙상-전방-서기,front,stand,,,4,,,300,,
F026,,,L1,,FALL,낙상-전방-앉기,front,sit,,,4,,,300,,
F027,,,L1,,FALL,낙상-전방-걷다가,front,walk,,,4,,,300,,
F028,,,L1,,FALL,낙상-후방-서기,back,stand,,,4,,,300,,
